2012-11-20T00:45:47.857751+00:00,sim64a[8378]:,disconnect,3,14.199.52.69,ApophisLee2
2012-11-20T06:26:36.368318+00:00,sim64a[8378]:,connect,2,14.199.52.69,ApophisLee2
2012-11-20T06:36:58.610189+00:00,sim64a[8378]:,disconnect,2,14.199.52.69,ApophisLee2
2012-11-20T06:37:08.744498+00:00,sim64a[8378]:,connect,3,14.199.52.69,ApophisLee2
2012-11-20T06:42:00.455558+00:00,sim64a[8378]:,disconnect,3,14.199.52.69,ApophisLee2
2012-11-20T06:42:11.464203+00:00,sim64a[8378]:,connect,2,14.199.52.69,ApophisLee2
2012-11-20T07:08:02.031701+00:00,sim64a[8378]:,disconnect,2,14.199.52.69,ApophisLee2
2012-11-20T12:22:09.280469+00:00,sim64a[8378]:,connect,2,84.13.214.19,Client#2
2012-11-20T12:31:16.536013+00:00,sim64a[8378]:,adminmsg,hello from admin
2012-11-20T12:31:16.536071+00:00,sim64a[8378]:,chat,2,84.13.214.19,Client#2,15,,hello from admin
2012-11-20T14:56:58.267865+00:00,sim64a[8378]:,adminmsg,hello everyone
2012-11-20T14:56:58.267931+00:00,sim64a[8378]:,chat,2,84.13.214.19,Client#2,15,,hello everyone
2012-11-20T14:57:55.931074+00:00,sim64a[8378]:,adminmsg,hello everyone
2012-11-20T14:57:55.932153+00:00,sim64a[8378]:,chat,2,84.13.214.19,Client#2,15,,hello everyone
2012-11-20T14:58:32.351074+00:00,sim64a[8378]:,adminmsg,testing 123
2012-11-20T14:58:32.351124+00:00,sim64a[8378]:,chat,2,84.13.214.19,Client#2,15,,testing 123
2012-11-20T18:12:47.658210+00:00,sim64a[8378]:,disconnect,2,84.13.214.19,Client#2
2012-11-20T18:34:10.397530+00:00,sim64a[8378]:,connect,2,190.105.59.127,Client#2
2012-11-20T19:22:30.520126+00:00,sim64a[8378]:,connect,3,83.25.254.117,ucho
2012-11-20T20:26:43.559258+00:00,sim64a[8378]:,connect,4,81.173.156.209,trian
2012-11-20T23:09:29.125563+00:00,sim64a[8378]:,connect,5,92.230.108.237,Client#5
