2012-11-23T00:19:39.858550+00:00,sim128b[14671]:,disconnect,2,110.137.144.90,Client#3
2012-11-23T00:19:39.858590+00:00,sim128b[14671]:,disconnect,3,98.251.79.180,Client#6
2012-11-23T00:19:39.858612+00:00,sim128b[14671]:,disconnect,4,186.43.90.187,Client#5
2012-11-23T00:20:33.631958+00:00,sim128b[14671]:,connect,5,186.43.90.187,Client#5
2012-11-23T02:00:43.304195+00:00,sim128b[14671]:,disconnect,5,186.43.90.187,Client#5
2012-11-23T09:02:51.915449+00:00,sim128b[14671]:,connect,2,91.16.123.102,Client#5
2012-11-23T12:37:30.678381+00:00,sim128b[14671]:,disconnect,2,91.16.123.102,Client#5
2012-11-23T12:37:45.229624+00:00,sim128b[14671]:,connect,3,84.159.44.130,hoernleberg
2012-11-23T14:18:50.284743+00:00,sim128b[14671]:,connect,2,79.207.139.63,Client#4
2012-11-23T15:46:27.946770+00:00,sim128b[32299]:,connect,2,68.13.153.178,yo mom
2012-11-23T15:47:45.816756+00:00,sim128b[32299]:,connect,3,91.16.75.68,Client#5
2012-11-23T15:48:10.487333+00:00,sim128b[32299]:,chat,3,91.16.75.68,Client#5,7,German Trains Transport,yo
2012-11-23T15:51:42.073155+00:00,sim128b[32299]:,disconnect,2,68.13.153.178,yo mom
2012-11-23T17:20:05.481926+00:00,sim128b[16926]:,connect,2,91.16.75.68,Client#5
2012-11-23T23:18:27.160954+00:00,sim128b[16926]:,connect,3,98.251.79.180,Client#6
