2013-02-16T03:07:22.244951+00:00,sim128b[11801]:,onnect,3,98.141.195.201,Fifty
2013-02-16T03:42:18.916542+00:00,sim128b[11801]:,onnect,4,98.141.195.201,Fifty
2013-02-16T05:12:58.175906+00:00,sim128b[11801]:,onnect,5,202.152.204.141,Client#3
2013-02-16T08:55:38.157020+00:00,sim128b[11801]:,onnect,6,77.99.34.22,Rapheous
2013-02-16T09:22:57.823770+00:00,sim128b[11801]:,onnect,7,91.36.241.180,Client#3
2013-02-16T09:22:57.875439+00:00,sim128b[11801]:,isconnect,2,88.172.246.8,Client#3
2013-02-16T09:22:57.875480+00:00,sim128b[11801]:,isconnect,3,98.141.195.201,Fifty
2013-02-16T09:22:57.875504+00:00,sim128b[11801]:,isconnect,4,98.141.195.201,Fifty
2013-02-16T09:22:57.875526+00:00,sim128b[11801]:,isconnect,5,202.152.204.141,Client#3
2013-02-16T09:40:50.992596+00:00,sim128b[11801]:,isconnect,6,77.99.34.22,Rapheous
2013-02-16T10:36:33.795054+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-16T10:40:53.240801+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-16T10:40:53.240864+00:00,sim128b[11801]:,isconnect,7,91.36.241.180,Client#3
2013-02-16T10:41:01.596738+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-16T11:14:53.403579+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-16T13:07:23.386151+00:00,sim128b[11801]:,onnect,2,91.16.74.64,Jaridan
2013-02-16T13:11:57.914082+00:00,sim128b[11801]:,isconnect,2,91.16.74.64,Jaridan
2013-02-16T13:24:55.455895+00:00,sim128b[11801]:,onnect,2,91.16.74.64,Jaridan
2013-02-16T13:38:36.383579+00:00,sim128b[11801]:,isconnect,2,91.16.74.64,Jaridan
2013-02-16T13:38:53.784123+00:00,sim128b[11801]:,onnect,2,91.16.74.64,Jaridan
2013-02-16T13:49:44.558721+00:00,sim128b[11801]:,isconnect,2,91.16.74.64,Jaridan
2013-02-16T13:49:50.512348+00:00,sim128b[11801]:,onnect,3,91.16.74.64,Jaridan
2013-02-16T13:57:34.221404+00:00,sim128b[11801]:,onnect,2,202.152.202.106,Client#2
2013-02-16T14:11:18.693749+00:00,sim128b[11801]:,hat,3,91.16.74.64,Jaridan,6,German Vacations Train - reloaded,it'seeeeeeeeeeeeeee me
2013-02-16T14:24:30.908055+00:00,sim128b[11801]:,isconnect,2,202.152.202.106,Client#2
2013-02-16T14:25:04.955897+00:00,sim128b[11801]:,onnect,2,202.152.202.106,Client#2
2013-02-16T14:36:57.124022+00:00,sim128b[11801]:,isconnect,3,91.16.74.64,Jaridan
2013-02-16T14:43:32.126451+00:00,sim128b[11801]:,onnect,3,71.200.128.99,Benjad
2013-02-16T14:46:53.175617+00:00,sim128b[11801]:,hat,3,71.200.128.99,Benjad,15,,Wow.. great progress in this gamre!
2013-02-16T15:05:12.598218+00:00,sim128b[11801]:,onnect,4,62.238.177.205,Client#5
2013-02-16T15:05:12.650305+00:00,sim128b[11801]:,isconnect,2,202.152.202.106,Client#2
2013-02-16T15:16:17.764570+00:00,sim128b[11801]:,isconnect,3,71.200.128.99,Benjad
2013-02-16T15:16:30.006324+00:00,sim128b[11801]:,onnect,2,71.200.128.99,Benjad
2013-02-16T15:56:16.015269+00:00,sim128b[11801]:,onnect,3,91.16.36.37,Jaridan
2013-02-16T15:56:42.907122+00:00,sim128b[11801]:,hat,2,71.200.128.99,Benjad,4,Planet Express,Jaridan!
2013-02-16T15:56:47.103139+00:00,sim128b[11801]:,hat,3,91.16.36.37,Jaridan,6,German Vacations Train - reloaded,sup
2013-02-16T15:56:59.756808+00:00,sim128b[11801]:,hat,2,71.200.128.99,Benjad,4,Planet Express,loll  I should have guessed.   loll
2013-02-16T15:57:05.178854+00:00,sim128b[11801]:,hat,3,91.16.36.37,Jaridan,6,German Vacations Train - reloaded,?
2013-02-16T15:57:13.505960+00:00,sim128b[11801]:,hat,2,71.200.128.99,Benjad,4,Planet Express,didnt realize you were back
2013-02-16T15:57:13.952640+00:00,sim128b[11801]:,hat,3,91.16.36.37,Jaridan,6,German Vacations Train - reloaded,the name kinda gives it away
2013-02-16T15:57:22.928345+00:00,sim128b[11801]:,hat,3,91.16.36.37,Jaridan,6,German Vacations Train - reloaded,just made the acc like
2013-02-16T15:57:29.315473+00:00,sim128b[11801]:,hat,3,91.16.36.37,Jaridan,6,German Vacations Train - reloaded,3 hours ago
