2012-06-17T00:59:34.875126+00:00,sim64a[4831]:,disconnect,6,69.138.176.94,Fifty
2012-06-17T00:59:55.959371+00:00,sim64a[4831]:,connect,2,124.150.102.246,Client#2
2012-06-17T02:26:29.696669+00:00,sim64a[4831]:,connect,3,60.246.155.65,penhong
2012-06-17T02:30:58.114424+00:00,sim64a[4831]:,disconnect,2,124.150.102.246,Client#2
2012-06-17T02:30:58.114471+00:00,sim64a[4831]:,disconnect,3,60.246.155.65,penhong
2012-06-17T02:56:11.582661+00:00,sim64a[4831]:,connect,2,60.246.155.65,penhong
2012-06-17T03:01:42.551884+00:00,sim64a[4831]:,disconnect,2,60.246.155.65,penhong
2012-06-17T03:02:05.455580+00:00,sim64a[4831]:,connect,3,60.246.155.65,penhong
2012-06-17T07:19:04.176491+00:00,sim64a[4831]:,disconnect,3,60.246.155.65,penhong
2012-06-17T07:19:17.073797+00:00,sim64a[4831]:,connect,2,176.199.66.19,Client#2
2012-06-17T12:03:32.411138+00:00,sim64a[4831]:,connect,3,60.246.155.65,penhong
2012-06-17T12:30:40.425621+00:00,sim64a[4831]:,connect,4,60.246.155.65,penhong
2012-06-17T12:35:32.085466+00:00,sim64a[4831]:,disconnect,2,176.199.66.19,Client#2
2012-06-17T12:35:32.085510+00:00,sim64a[4831]:,disconnect,3,60.246.155.65,penhong
2012-06-17T12:35:32.085529+00:00,sim64a[4831]:,disconnect,4,60.246.155.65,penhong
2012-06-17T12:36:28.889130+00:00,sim64a[4831]:,connect,5,60.246.155.65,penhong
2012-06-17T12:59:34.186946+00:00,sim64a[4831]:,disconnect,5,60.246.155.65,penhong
2012-06-17T13:03:26.858232+00:00,sim64a[4831]:,connect,2,60.246.155.65,penhong
2012-06-17T13:14:39.670995+00:00,sim64a[4831]:,connect,3,60.246.155.65,penhong
2012-06-17T13:20:54.199852+00:00,sim64a[4831]:,connect,4,60.246.155.65,penhong
2012-06-17T13:27:54.885815+00:00,sim64a[4831]:,disconnect,2,60.246.155.65,penhong
2012-06-17T13:27:54.885861+00:00,sim64a[4831]:,disconnect,3,60.246.155.65,penhong
2012-06-17T13:27:54.885901+00:00,sim64a[4831]:,disconnect,4,60.246.155.65,penhong
2012-06-17T13:28:46.532326+00:00,sim64a[4831]:,connect,5,60.246.155.65,penhong
2012-06-17T13:36:37.498097+00:00,sim64a[4831]:,connect,2,60.246.155.65,penhong
2012-06-17T13:48:35.543464+00:00,sim64a[4831]:,disconnect,2,60.246.155.65,penhong
2012-06-17T13:48:35.543501+00:00,sim64a[4831]:,disconnect,5,60.246.155.65,penhong
2012-06-17T13:49:32.068831+00:00,sim64a[4831]:,connect,3,60.246.155.65,penhong
2012-06-17T13:56:01.718587+00:00,sim64a[4831]:,disconnect,3,60.246.155.65,penhong
2012-06-17T13:56:45.136768+00:00,sim64a[4831]:,connect,2,60.246.155.65,penhong
2012-06-17T15:42:15.137993+00:00,sim64a[4831]:,disconnect,2,60.246.155.65,penhong
2012-06-17T15:44:43.339851+00:00,sim64a[4831]:,connect,2,83.27.42.160,Mouse
2012-06-17T15:50:02.314127+00:00,sim64a[4831]:,disconnect,2,83.27.42.160,Mouse
2012-06-17T16:22:57.529244+00:00,sim64a[4831]:,connect,2,89.24.152.71,Client#2
2012-06-17T16:29:20.937586+00:00,sim64a[4831]:,connect,3,89.24.152.71,Client#2
2012-06-17T19:28:55.016367+00:00,sim64a[4831]:,connect,4,187.95.98.40,Bruno
