2012-08-19T01:31:26.763286+00:00,sim64b[1447]:,disconnect,3,80.132.173.49,Client#3
2012-08-19T01:31:58.566049+00:00,sim64b[1447]:,connect,2,122.148.146.34,Client#2
2012-08-19T02:14:35.214438+00:00,sim64b[1447]:,connect,3,98.141.195.146,Fifty
2012-08-19T07:16:23.683324+00:00,sim64b[1447]:,connect,4,80.132.164.11,Client#4
2012-08-19T09:08:22.297307+00:00,sim64b[1447]:,connect,5,93.195.27.239,Client#6
2012-08-19T09:08:22.485293+00:00,sim64b[1447]:,disconnect,2,122.148.146.34,Client#2
2012-08-19T09:08:22.485320+00:00,sim64b[1447]:,disconnect,3,98.141.195.146,Fifty
2012-08-19T09:16:20.411501+00:00,sim64b[1447]:,disconnect,4,80.132.164.11,Client#4
2012-08-19T11:19:21.517302+00:00,sim64b[1447]:,connect,2,80.132.145.66,Client#4
2012-08-19T11:21:41.616973+00:00,sim64b[1447]:,connect,3,93.195.27.239,Client#6
2012-08-19T11:21:41.806944+00:00,sim64b[1447]:,disconnect,5,93.195.27.239,Client#6
2012-08-19T11:28:55.677685+00:00,sim64b[1447]:,disconnect,2,80.132.145.66,Client#4
2012-08-19T11:57:23.345968+00:00,sim64b[1447]:,connect,2,151.55.10.246,Client#4
2012-08-19T11:59:36.647103+00:00,sim64b[1447]:,disconnect,2,151.55.10.246,Client#4
2012-08-19T13:30:07.853000+00:00,sim64b[1447]:,connect,2,93.195.27.239,Client#6
2012-08-19T15:32:39.849176+00:00,sim64b[1447]:,connect,4,109.243.17.176,Client#4
2012-08-19T15:32:40.029481+00:00,sim64b[1447]:,disconnect,3,93.195.27.239,Client#6
2012-08-19T15:35:15.950587+00:00,sim64b[1447]:,disconnect,4,109.243.17.176,Client#4
2012-08-19T15:52:49.068459+00:00,sim64b[1447]:,disconnect,2,93.195.27.239,Client#6
2012-08-19T15:58:18.327455+00:00,sim64b[1447]:,connect,2,80.132.150.184,Client#4
2012-08-19T16:32:53.796336+00:00,sim64b[1447]:,disconnect,2,80.132.150.184,Client#4
2012-08-19T18:58:07.807831+00:00,sim64b[1447]:,connect,2,80.132.150.184,Client#4
2012-08-19T21:40:57.638747+00:00,sim64b[1447]:,connect,3,93.217.89.183,hey
2012-08-19T21:42:45.769659+00:00,sim64b[1447]:,disconnect,2,80.132.150.184,Client#4
2012-08-19T21:42:45.769984+00:00,sim64b[1447]:,disconnect,3,93.217.89.183,hey
2012-08-19T21:46:38.841316+00:00,sim64b[1447]:,connect,2,151.55.10.246,Rudi!
2012-08-19T21:59:47.960391+00:00,sim64b[1447]:,connect,3,92.227.150.128,Client#6
2012-08-19T22:47:54.749454+00:00,sim64b[1447]:,connect,4,93.217.89.183,hey
2012-08-19T22:47:54.927354+00:00,sim64b[1447]:,disconnect,2,151.55.10.246,Rudi!
2012-08-19T22:48:09.527663+00:00,sim64b[1447]:,disconnect,3,92.227.150.128,Client#6
2012-08-19T22:51:06.643878+00:00,sim64b[1447]:,disconnect,4,93.217.89.183,hey
2012-08-19T22:52:19.649987+00:00,sim64b[1447]:,connect,2,92.227.150.128,Client#6
2012-08-19T23:09:37.943858+00:00,sim64b[1447]:,connect,3,122.148.146.34,Client#2
