2012-07-16T00:23:03.331719+00:00,sim64b[1447]:,connect,3,173.55.26.75,Hi-Desert transport
2012-07-16T09:12:24.453829+00:00,sim64b[1447]:,connect,4,92.230.95.195,Client#5
2012-07-16T09:31:44.843569+00:00,sim64b[1447]:,connect,5,87.12.59.180,gimi
2012-07-16T09:31:45.016130+00:00,sim64b[1447]:,disconnect,2,69.138.176.94,Fifty
2012-07-16T09:31:45.016352+00:00,sim64b[1447]:,disconnect,3,173.55.26.75,Hi-Desert transport
2012-07-16T09:38:14.615210+00:00,sim64b[1447]:,disconnect,5,87.12.59.180,gimi
2012-07-16T10:11:45.779474+00:00,sim64b[1447]:,connect,2,92.230.95.195,Client#5
2012-07-16T12:42:36.870151+00:00,sim64b[1447]:,disconnect,2,92.230.95.195,Client#5
2012-07-16T12:42:36.870248+00:00,sim64b[1447]:,disconnect,4,92.230.95.195,Client#5
2012-07-16T12:42:48.626382+00:00,sim64b[1447]:,connect,2,92.230.95.195,Client#5
2012-07-16T12:43:48.288280+00:00,sim64b[1447]:,connect,3,69.138.176.94,Fifty
2012-07-16T12:54:01.898194+00:00,sim64b[1447]:,disconnect,2,92.230.95.195,Client#5
2012-07-16T12:55:04.142104+00:00,sim64b[1447]:,connect,2,92.230.95.195,Client#5
2012-07-16T12:57:46.071137+00:00,sim64b[1447]:,disconnect,3,69.138.176.94,Fifty
2012-07-16T13:00:36.572010+00:00,sim64b[1447]:,connect,3,90.179.49.125,with the lemons!
2012-07-16T13:28:16.067876+00:00,sim64b[1447]:,disconnect,2,92.230.95.195,Client#5
2012-07-16T13:28:32.118098+00:00,sim64b[1447]:,connect,2,92.230.95.195,Client#5
2012-07-16T13:40:09.647855+00:00,sim64b[1447]:,disconnect,3,90.179.49.125,with the lemons!
2012-07-16T13:40:45.012151+00:00,sim64b[1447]:,connect,3,90.179.49.125,Client#3
2012-07-16T13:48:01.223100+00:00,sim64b[1447]:,disconnect,3,90.179.49.125,Client#3
2012-07-16T14:25:57.358933+00:00,sim64b[1447]:,connect,3,92.230.95.195,Client#5
2012-07-16T14:56:56.817065+00:00,sim64b[1447]:,connect,4,90.179.49.125,Client#4
2012-07-16T14:56:56.989119+00:00,sim64b[1447]:,disconnect,2,92.230.95.195,Client#5
2012-07-16T14:58:36.027753+00:00,sim64b[1447]:,disconnect,4,90.179.49.125,Client#4
2012-07-16T14:59:19.207540+00:00,sim64b[1447]:,connect,2,90.179.49.125,Client#2
2012-07-16T15:10:23.938308+00:00,sim64b[1447]:,disconnect,3,92.230.95.195,Client#5
2012-07-16T15:10:38.191326+00:00,sim64b[1447]:,connect,3,92.230.95.195,Client#5
