2012-11-21T14:31:32.689485+00:00,sim128a[13623]:,connect,2,58.182.179.42,Client#2
2012-11-21T14:36:10.376419+00:00,sim128a[13623]:,disconnect,2,58.182.179.42,Client#2
2012-11-21T14:36:10.377679+00:00,sim128a[13623]:,disconnect,3,85.54.149.120,Client#3
2012-11-21T15:30:44.947260+00:00,sim128a[13623]:,connect,2,188.25.203.224,Mecanicu
2012-11-21T17:48:06.064349+00:00,sim128a[13623]:,connect,3,93.214.196.197,Client#3
2012-11-21T18:21:31.315598+00:00,sim128a[13623]:,connect,4,85.216.236.24,Client#2
2012-11-21T19:31:56.729442+00:00,sim128a[13623]:,connect,5,85.216.236.24,Client#2
2012-11-21T19:33:11.175260+00:00,sim128a[13623]:,disconnect,2,188.25.203.224,Mecanicu
2012-11-21T19:33:11.176147+00:00,sim128a[13623]:,disconnect,3,93.214.196.197,Client#3
2012-11-21T19:33:11.176293+00:00,sim128a[13623]:,disconnect,4,85.216.236.24,Client#2
2012-11-21T19:33:11.176333+00:00,sim128a[13623]:,disconnect,5,85.216.236.24,Client#2
2012-11-21T22:57:38.475225+00:00,sim128a[13623]:,connect,2,189.121.171.174,Client#4
