2012-12-27T00:00:07.152553+00:00,sim128a[23434]:,disconnect,2,108.18.197.196,Client#2
2012-12-27T00:00:07.152590+00:00,sim128a[23434]:,disconnect,4,81.217.25.86,Client#4
2012-12-27T00:00:14.035819+00:00,sim128a[23434]:,connect,6,124.183.240.160,Client#6
2012-12-27T12:40:55.476833+00:00,sim128a[23434]:,disconnect,6,124.183.240.160,Client#6
2012-12-27T12:40:58.915651+00:00,sim128a[23434]:,connect,2,62.238.177.205,Client#3
2012-12-27T12:42:39.083313+00:00,sim128a[23434]:,disconnect,2,62.238.177.205,Client#3
2012-12-27T12:48:37.374288+00:00,sim128a[23434]:,connect,2,62.238.177.205,Client#3
2012-12-27T12:49:49.501071+00:00,sim128a[23434]:,disconnect,2,62.238.177.205,Client#3
2012-12-27T13:45:46.425680+00:00,sim128a[23434]:,connect,2,79.6.115.235,JOAQUIN
2012-12-27T13:48:27.030101+00:00,sim128a[23434]:,disconnect,2,79.6.115.235,JOAQUIN
2012-12-27T13:49:19.009858+00:00,sim128a[23434]:,connect,2,79.6.115.235,JOAQUIN
2012-12-27T14:21:02.005253+00:00,sim128a[23434]:,connect,4,79.6.115.235,JOAQUIN
2012-12-27T14:26:44.610715+00:00,sim128a[23434]:,disconnect,2,79.6.115.235,JOAQUIN
2012-12-27T14:26:44.611017+00:00,sim128a[23434]:,disconnect,4,79.6.115.235,JOAQUIN
2012-12-27T16:44:07.371009+00:00,sim128a[23434]:,connect,2,14.199.13.214,Client#9
2012-12-27T19:15:53.952456+00:00,sim128a[23434]:,connect,4,86.199.11.35,Client#4
2012-12-27T19:19:17.879392+00:00,sim128a[23434]:,disconnect,2,14.199.13.214,Client#9
2012-12-27T19:19:17.879832+00:00,sim128a[23434]:,disconnect,4,86.199.11.35,Client#4
2012-12-27T20:48:29.022737+00:00,sim128a[23434]:,connect,2,98.141.195.197,Fifty
2012-12-27T20:54:45.306834+00:00,sim128a[23434]:,disconnect,2,98.141.195.197,Fifty
2012-12-27T21:10:14.056697+00:00,sim128a[23434]:,connect,2,89.155.126.12,Client#5
