2012-07-24T04:06:48.065658+00:00,sim64a[1453]:,disconnect,3,91.18.13.160,Tobi
2012-07-24T04:07:20.696746+00:00,sim64a[1453]:,connect,2,60.246.178.156,penhong
2012-07-24T04:14:52.299630+00:00,sim64a[1453]:,disconnect,2,60.246.178.156,penhong
2012-07-24T04:15:27.866795+00:00,sim64a[1453]:,connect,3,60.246.178.156,penhong
2012-07-24T04:24:10.922445+00:00,sim64a[1453]:,disconnect,3,60.246.178.156,penhong
2012-07-24T04:44:22.707209+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T05:06:07.186232+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T05:06:50.164295+00:00,sim64a[1453]:,connect,3,60.246.190.241,penhong
2012-07-24T05:17:40.419046+00:00,sim64a[1453]:,disconnect,3,60.246.190.241,penhong
2012-07-24T05:20:27.889752+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T05:38:37.143151+00:00,sim64a[1453]:,connect,3,60.246.190.241,penhong
2012-07-24T06:13:18.750878+00:00,sim64a[1453]:,connect,4,60.246.190.241,penhong
2012-07-24T06:24:29.086943+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T06:24:29.087196+00:00,sim64a[1453]:,disconnect,3,60.246.190.241,penhong
2012-07-24T06:24:29.087492+00:00,sim64a[1453]:,disconnect,4,60.246.190.241,penhong
2012-07-24T06:25:27.319634+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T06:27:45.535828+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T06:28:35.799729+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T06:37:38.494090+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T06:38:30.376798+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T06:46:59.506734+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T06:47:27.400092+00:00,sim64a[1453]:,connect,3,60.246.190.241,penhong
2012-07-24T07:16:07.287044+00:00,sim64a[1453]:,disconnect,3,60.246.190.241,penhong
2012-07-24T07:16:54.391939+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T07:28:05.606613+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T07:29:01.877219+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T07:44:26.168738+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T07:45:23.242099+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T07:49:16.348086+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T07:50:17.384683+00:00,sim64a[1453]:,connect,3,60.246.190.241,penhong
2012-07-24T07:59:11.774088+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T08:03:36.301832+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T08:03:36.301897+00:00,sim64a[1453]:,disconnect,3,60.246.190.241,penhong
2012-07-24T08:04:01.201264+00:00,sim64a[1453]:,connect,4,60.246.190.241,penhong
2012-07-24T08:28:47.618712+00:00,sim64a[1453]:,disconnect,4,60.246.190.241,penhong
2012-07-24T08:29:41.697891+00:00,sim64a[1453]:,connect,2,60.246.190.241,penhong
2012-07-24T08:50:51.524649+00:00,sim64a[1453]:,disconnect,2,60.246.190.241,penhong
2012-07-24T08:51:10.297722+00:00,sim64a[1453]:,connect,3,218.225.247.141,Client#3
2012-07-24T08:53:31.830358+00:00,sim64a[1453]:,disconnect,3,218.225.247.141,Client#3
2012-07-24T08:53:42.970123+00:00,sim64a[1453]:,connect,2,79.248.40.187,Client#3
2012-07-24T08:59:59.970267+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T09:05:39.065971+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T09:09:41.607613+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T09:12:45.903551+00:00,sim64a[1453]:,disconnect,2,79.248.40.187,Client#3
2012-07-24T10:05:41.494497+00:00,sim64a[1453]:,connect,2,87.12.59.180,Client#3
2012-07-24T10:11:59.151527+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,Client#3
2012-07-24T10:11:59.151795+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T10:29:33.973041+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T10:36:51.026469+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T11:10:43.948384+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-24T11:13:12.323162+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T11:13:12.323203+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T11:13:12.323233+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,JohnBlack
2012-07-24T11:13:33.281192+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T11:31:16.381594+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T11:31:26.596487+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T12:00:31.439129+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T12:00:42.225717+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T12:57:30.617006+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T12:57:39.973682+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T13:13:23.278705+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T14:02:59.705260+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T14:02:59.705314+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T14:03:15.096207+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T14:08:31.090910+00:00,sim64a[1453]:,connect,3,60.246.189.132,penhong
2012-07-24T14:11:22.023435+00:00,sim64a[1453]:,disconnect,3,60.246.189.132,penhong
2012-07-24T14:16:49.277228+00:00,sim64a[1453]:,connect,3,77.242.81.206,Client#4
2012-07-24T14:18:24.771896+00:00,sim64a[1453]:,disconnect,3,77.242.81.206,Client#4
2012-07-24T14:21:06.057735+00:00,sim64a[1453]:,connect,3,60.246.189.132,penhong
2012-07-24T14:21:17.357814+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-24T14:21:17.475092+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T14:25:13.615510+00:00,sim64a[1453]:,disconnect,3,60.246.189.132,penhong
2012-07-24T14:35:58.097240+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,JohnBlack
2012-07-24T14:36:13.245909+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T14:45:51.784144+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T14:46:06.040324+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T16:02:48.431688+00:00,sim64a[1453]:,connect,3,60.246.189.132,penhong
2012-07-24T16:03:05.316056+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-24T16:03:05.454003+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T16:07:54.253128+00:00,sim64a[1453]:,disconnect,3,60.246.189.132,penhong
2012-07-24T16:12:32.008746+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T16:21:01.125347+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T16:47:42.561428+00:00,sim64a[1453]:,connect,5,91.18.12.67,Tobi
2012-07-24T16:47:42.739077+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T16:47:42.739246+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,JohnBlack
2012-07-24T16:58:25.938520+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T17:01:48.170520+00:00,sim64a[1453]:,disconnect,5,91.18.12.67,Tobi
2012-07-24T17:01:58.670609+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T17:08:01.879687+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T17:28:16.899439+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T17:28:16.899478+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T17:28:27.071429+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-24T17:30:41.882790+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-24T17:32:23.262628+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-24T17:32:23.262661+00:00,sim64a[1453]:,disconnect,4,78.128.195.151,JohnBlack
2012-07-24T17:48:27.837149+00:00,sim64a[1453]:,connect,2,60.246.189.132,penhong
2012-07-24T18:14:39.012342+00:00,sim64a[1453]:,connect,3,78.128.195.151,JohnBlack
2012-07-24T18:20:06.510785+00:00,sim64a[1453]:,disconnect,2,60.246.189.132,penhong
2012-07-24T18:20:06.511123+00:00,sim64a[1453]:,disconnect,3,78.128.195.151,JohnBlack
2012-07-24T18:20:17.035961+00:00,sim64a[1453]:,connect,4,78.128.195.151,JohnBlack
2012-07-24T21:58:24.311716+00:00,sim64a[1453]:,connect,2,37.36.248.75,Client#5
