2012-05-09T01:37:46.494256+00:00,sim64b[5922]:,disconnect,6,79.249.127.102,Client#2
2012-05-09T01:38:01.192477+00:00,sim64b[5922]:,connect,3,108.23.68.55,Client#3
2012-05-09T01:38:31.020738+00:00,sim64b[5922]:,namechange,3,108.23.68.55,Client#3,Hi-Desert Transport
2012-05-09T01:48:16.281913+00:00,sim64b[5922]:,connect,5,108.23.68.55,Hi-Desert Transport
2012-05-09T01:48:43.858685+00:00,sim64b[5922]:,disconnect,3,108.23.68.55,Hi-Desert Transport
2012-05-09T01:48:43.859028+00:00,sim64b[5922]:,disconnect,5,108.23.68.55,Hi-Desert Transport
2012-05-09T03:01:58.245216+00:00,sim64b[5922]:,connect,3,108.23.68.55,Client#3
2012-05-09T05:28:50.869245+00:00,sim64b[5922]:,connect,5,80.132.173.229,Client#5
2012-05-09T05:30:09.853275+00:00,sim64b[5922]:,disconnect,3,108.23.68.55,Client#3
2012-05-09T05:30:09.853544+00:00,sim64b[5922]:,disconnect,5,80.132.173.229,Client#5
2012-05-09T06:17:52.197479+00:00,sim64b[5922]:,connect,3,85.216.243.188,Client#8
2012-05-09T07:53:15.859245+00:00,sim64b[5922]:,connect,5,80.132.173.229,Client#5
2012-05-09T08:14:56.435303+00:00,sim64b[5922]:,disconnect,3,85.216.243.188,Client#8
2012-05-09T11:21:59.533655+00:00,sim64b[5922]:,connect,8,95.143.216.61,Client#8
2012-05-09T11:57:42.520361+00:00,sim64b[5922]:,connect,9,59.166.78.8,Client#9
2012-05-09T11:59:08.039018+00:00,sim64b[5922]:,chat,9,59.166.78.8,Client#9,15,,複線なら並列じゃなくて右側通行にすれば？
2012-05-09T12:01:22.917293+00:00,sim64b[5922]:,chat,9,59.166.78.8,Client#9,15,,開発レベルは評価10 しかしダイヤは評価2
2012-05-09T12:01:42.817675+00:00,sim64b[5922]:,chat,9,59.166.78.8,Client#9,15,,いますごいとこ見たwwww
2012-05-09T12:02:12.508272+00:00,sim64b[5922]:,chat,9,59.166.78.8,Client#9,15,,its fast!
2012-05-09T12:02:25.175505+00:00,sim64b[5922]:,disconnect,5,80.132.173.229,Client#5
2012-05-09T12:02:25.175540+00:00,sim64b[5922]:,disconnect,8,95.143.216.61,Client#8
2012-05-09T12:02:25.175642+00:00,sim64b[5922]:,disconnect,9,59.166.78.8,Client#9
2012-05-09T15:53:53.477279+00:00,sim64b[5922]:,connect,5,93.195.23.94,Client#4
2012-05-09T16:12:51.392219+00:00,sim64b[5922]:,connect,8,85.216.243.188,Client#8
2012-05-09T16:42:14.168640+00:00,sim64b[5922]:,disconnect,5,93.195.23.94,Client#4
2012-05-09T19:21:32.726684+00:00,sim64b[5922]:,disconnect,8,85.216.243.188,Client#8
2012-05-09T19:49:18.781002+00:00,sim64b[5922]:,connect,5,79.207.138.216,Client#5
2012-05-09T20:03:19.624529+00:00,sim64b[5922]:,connect,8,92.230.82.154,Client#4
2012-05-09T20:04:19.843522+00:00,sim64b[5922]:,connect,9,85.216.243.188,Client#8
2012-05-09T20:04:55.941154+00:00,sim64b[5922]:,disconnect,5,79.207.138.216,Client#5
2012-05-09T20:05:13.580262+00:00,sim64b[5922]:,connect,5,79.207.138.216,Client#5
2012-05-09T20:11:07.277440+00:00,sim64b[5922]:,disconnect,5,79.207.138.216,Client#5
2012-05-09T20:34:57.999250+00:00,sim64b[5922]:,disconnect,9,85.216.243.188,Client#8
2012-05-09T20:35:15.474502+00:00,sim64b[5922]:,connect,5,85.216.243.188,Client#8
2012-05-09T20:52:49.814998+00:00,sim64b[5922]:,disconnect,5,85.216.243.188,Client#8
2012-05-09T20:53:30.541023+00:00,sim64b[5922]:,connect,5,85.216.243.188,Client#8
2012-05-09T21:16:57.276703+00:00,sim64b[5922]:,disconnect,5,85.216.243.188,Client#8
2012-05-09T21:31:34.895694+00:00,sim64b[5922]:,connect,5,92.230.82.154,Client#4
